dep_struct,%of_total,count
ccomp_V_prep_prep_prep,1.2252349387995148e-05,1
ccomp_V_pobj,1.2252349387995148e-05,1
V_prep_prep_dobj,1.2252349387995148e-05,1
ccomp_ccomp_nsubj_V_dobj_prt,1.2252349387995148e-05,1
nsubj_V_prt_dative,1.2252349387995148e-05,1
prep_nsubj_V_ccomp_xcomp,1.2252349387995148e-05,1
prep_ccomp_ccomp_nsubj_V_ccomp,1.2252349387995148e-05,1
ccomp_prep_nsubj_V_prt_dobj_prep,1.2252349387995148e-05,1
nsubj_prep_V_dative_dobj,1.2252349387995148e-05,1
prep_nsubj_V_dative,1.2252349387995148e-05,1
nsubj_V_ccomp_prep_ccomp,1.2252349387995148e-05,1
ccomp_nsubj_V_prt_xcomp,1.2252349387995148e-05,1
V_ccomp_dobj_ccomp,1.2252349387995148e-05,1
nsubj_V_prep_prep_dobj,1.2252349387995148e-05,1
nsubj_V_dative_ccomp_dobj,1.2252349387995148e-05,1
ccomp_nsubj_V_xcomp_xcomp,1.2252349387995148e-05,1
ccomp_prep_nsubj_V_prep_prep,1.2252349387995148e-05,1
prep_nsubj_prep_V_xcomp,1.2252349387995148e-05,1
nsubj_V_ccomp_dative,1.2252349387995148e-05,1
